age,rate
0,4.88E-03
1,3.89E-04
2,2.00E-04
3,1.58E-04
4,1.24E-04
5,1.03E-04
6,9.90E-05
7,9.06E-05
8,1.04E-04
9,8.83E-05
10,9.49E-05
11,9.64E-05
12,1.22E-04
13,1.16E-04
14,1.46E-04
15,1.73E-04
16,2.45E-04
17,2.73E-04
18,3.22E-04
19,3.92E-04
20,3.87E-04
21,4.43E-04
22,4.44E-04
23,4.38E-04
24,4.99E-04
25,4.93E-04
26,5.17E-04
27,5.02E-04
28,5.67E-04
29,6.03E-04
30,6.48E-04
31,6.45E-04
32,7.01E-04
33,7.19E-04
34,7.68E-04
35,8.07E-04
36,9.57E-04
37,9.56E-04
38,1.03E-03
39,1.10E-03
40,1.20E-03
41,1.34E-03
42,1.40E-03
43,1.60E-03
44,1.80E-03
45,1.86E-03
46,2.23E-03
47,2.41E-03
48,2.53E-03
49,2.78E-03
50,3.00E-03
51,3.29E-03
52,3.61E-03
53,3.72E-03
54,4.10E-03
55,4.16E-03
56,4.69E-03
57,4.89E-03
58,5.38E-03
59,5.81E-03
60,6.16E-03
61,6.86E-03
62,7.28E-03
63,8.38E-03
64,9.62E-03
65,9.88E-03
66,1.09E-02
67,1.20E-02
68,1.33E-02
69,1.44E-02
70,1.58E-02
71,1.73E-02
72,1.91E-02
73,2.09E-02
74,2.29E-02
75,2.56E-02
76,2.87E-02
77,3.11E-02
78,3.51E-02
79,3.79E-02
80,4.24E-02
81,4.74E-02
82,5.33E-02
83,5.97E-02
84,6.78E-02
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
